epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,360.061,1.12246,0.87515,1.16514,0.6911,0.81082,0.81098,0.51199,1.24662,0.97945,1.17187,0.00022158,0.00022158,0.00022158
43,368.498,1.11283,0.85277,1.16503,0.65134,0.78617,0.76758,0.48599,1.25018,1.05284,1.15615,0.000220204,0.000220204,0.000220204
44,377.167,1.09516,0.81072,1.15345,0.70085,0.72455,0.78223,0.5131,1.18308,1.03923,1.15044,0.000218828,0.000218828,0.000218828
45,385.35,1.08952,0.85527,1.15642,0.67137,0.77609,0.78207,0.47901,1.29533,1.06423,1.17365,0.000217452,0.000217452,0.000217452
46,393.822,1.10825,0.79022,1.15396,0.76947,0.79078,0.84597,0.51307,1.34156,0.89851,1.19414,0.000216075,0.000216075,0.000216075
47,402.538,1.11538,0.82786,1.1658,0.60119,0.75831,0.71963,0.44997,1.24135,1.21589,1.17633,0.000214699,0.000214699,0.000214699
48,410.9,1.09043,0.79278,1.15282,0.73136,0.78018,0.82205,0.50858,1.27876,0.92956,1.17124,0.000213323,0.000213323,0.000213323
49,419.259,1.09795,0.79564,1.15152,0.80742,0.82918,0.89211,0.57129,1.21364,0.82508,1.16452,0.000211947,0.000211947,0.000211947
50,427.886,1.09952,0.78542,1.1513,0.76573,0.82456,0.85011,0.50941,1.36319,0.89721,1.19782,0.000210571,0.000210571,0.000210571
51,436.452,1.11511,0.79086,1.16019,0.69375,0.76341,0.78966,0.4928,1.26305,1.02289,1.19953,0.000209195,0.000209195,0.000209195
52,444.856,1.08315,0.78231,1.15104,0.7777,0.80633,0.87464,0.57621,1.18257,0.85718,1.15038,0.000207819,0.000207819,0.000207819
53,453.515,1.06889,0.7446,1.13674,0.83202,0.87019,0.92156,0.56447,1.29806,0.7715,1.17113,0.000206443,0.000206443,0.000206443
54,461.924,1.05749,0.75723,1.13932,0.65795,0.77631,0.77884,0.52107,1.17532,0.97835,1.15005,0.000205067,0.000205067,0.000205067
55,470.263,1.0629,0.76022,1.13311,0.66121,0.75013,0.752,0.4425,1.42095,1.13117,1.20869,0.000203691,0.000203691,0.000203691
56,478.967,1.08175,0.73223,1.13662,0.78985,0.82006,0.88515,0.57889,1.1732,0.8607,1.15452,0.000202314,0.000202314,0.000202314
57,487.758,1.05397,0.72827,1.13019,0.6822,0.82167,0.82776,0.50458,1.32333,1.04621,1.18429,0.000200938,0.000200938,0.000200938
58,496.114,1.0616,0.71431,1.13424,0.78731,0.76345,0.86251,0.5604,1.19157,0.94385,1.16345,0.000199562,0.000199562,0.000199562
59,504.904,1.07517,0.73248,1.13811,0.76592,0.82782,0.86509,0.54885,1.22953,0.92029,1.15988,0.000198186,0.000198186,0.000198186
60,513.595,1.05607,0.70649,1.13199,0.70614,0.80405,0.82691,0.53373,1.25264,0.94427,1.16202,0.00019681,0.00019681,0.00019681
