epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6886,2.21746,5.11845,1.77471,0.21704,0.13793,0.02798,0.0162,1.67197,4.77257,1.50282,6.672e-05,6.672e-05,6.672e-05
2,23.1568,1.50141,3.02521,1.28471,0.16208,0.56538,0.23516,0.15128,1.31711,4.79362,1.24926,0.000134871,0.000134871,0.000134871
3,31.5098,1.35423,2.18602,1.20941,0.2321,0.68418,0.30401,0.18945,1.32266,2.2287,1.25591,0.000201647,0.000201647,0.000201647
4,40.4508,1.3157,1.91741,1.18258,0.30731,0.6713,0.40114,0.25181,1.23219,1.72569,1.20029,0.000267046,0.000267046,0.000267046
5,49.5021,1.27789,1.76706,1.16225,0.35904,0.74458,0.46931,0.3008,1.24643,1.60099,1.18437,0.000266991,0.000266991,0.000266991
6,57.7482,1.24094,1.66566,1.15592,0.37939,0.76303,0.45376,0.28549,1.22163,1.5254,1.17504,0.000264239,0.000264239,0.000264239
7,66.5958,1.22388,1.57317,1.14201,0.39664,0.8009,0.46515,0.28667,1.20744,1.481,1.18644,0.000261487,0.000261487,0.000261487
8,75.5123,1.20458,1.52953,1.13365,0.42995,0.82724,0.55289,0.35965,1.14304,1.37305,1.14916,0.000258735,0.000258735,0.000258735
9,84.1771,1.18453,1.48333,1.1261,0.42059,0.81258,0.50774,0.32136,1.18748,1.39942,1.15616,0.000255982,0.000255982,0.000255982
10,92.8502,1.19872,1.43252,1.1307,0.44724,0.85697,0.51141,0.31621,1.21108,1.3438,1.17541,0.00025323,0.00025323,0.00025323
11,101.817,1.20288,1.40975,1.13337,0.46805,0.82722,0.5641,0.35801,1.18292,1.31361,1.16139,0.000250478,0.000250478,0.000250478
12,110.797,1.18634,1.37979,1.12515,0.43881,0.85489,0.4994,0.31245,1.19747,1.33824,1.16619,0.000247726,0.000247726,0.000247726
13,119.396,1.17029,1.33525,1.11628,0.44854,0.84861,0.53753,0.34602,1.2222,1.32047,1.16713,0.000244974,0.000244974,0.000244974
14,128.208,1.17168,1.32158,1.11413,0.51002,0.8603,0.65788,0.43313,1.16629,1.16872,1.1495,0.000242221,0.000242221,0.000242221
15,137.138,1.15757,1.305,1.10634,0.44378,0.86937,0.50883,0.31834,1.19857,1.33447,1.16375,0.000239469,0.000239469,0.000239469
16,145.657,1.13946,1.28297,1.10601,0.50914,0.86697,0.65541,0.41925,1.19503,1.16797,1.14286,0.000236717,0.000236717,0.000236717
17,154.514,1.13653,1.24694,1.09343,0.4668,0.86758,0.54386,0.33822,1.21787,1.26278,1.13914,0.000233965,0.000233965,0.000233965
18,163.426,1.15006,1.22768,1.08928,0.50028,0.83869,0.63157,0.4087,1.1936,1.2156,1.14409,0.000231213,0.000231213,0.000231213
19,171.741,1.12946,1.19545,1.09764,0.58294,0.80725,0.73242,0.47969,1.18316,1.0684,1.13498,0.00022846,0.00022846,0.00022846
20,180.758,1.1289,1.19575,1.09627,0.59969,0.83483,0.75245,0.48093,1.19086,1.05328,1.13955,0.000225708,0.000225708,0.000225708
21,189.773,1.11417,1.1353,1.08534,0.45477,0.81513,0.52657,0.32334,1.18917,1.34503,1.14286,0.000222956,0.000222956,0.000222956
22,197.979,1.14339,1.12561,1.09495,0.57145,0.76984,0.67886,0.44672,1.14009,1.14174,1.12761,0.000220204,0.000220204,0.000220204
23,206.884,1.1045,1.06502,1.07745,0.61485,0.76849,0.71673,0.45589,1.18517,1.1362,1.12631,0.000217452,0.000217452,0.000217452
24,215.955,1.09077,1.03337,1.06984,0.62822,0.7971,0.74125,0.45704,1.22318,1.07973,1.16514,0.000214699,0.000214699,0.000214699
25,224.375,1.10598,1.04364,1.08514,0.61761,0.72393,0.70047,0.44706,1.16916,1.15626,1.14762,0.000211947,0.000211947,0.000211947
26,233.143,1.10504,0.98248,1.07838,0.7001,0.7827,0.79167,0.50998,1.18632,1.04359,1.15055,0.000209195,0.000209195,0.000209195
27,242.048,1.09677,0.96408,1.07883,0.62052,0.80225,0.73392,0.46861,1.18841,1.07933,1.13397,0.000206443,0.000206443,0.000206443
28,250.315,1.07532,0.93783,1.05972,0.69414,0.77674,0.74978,0.45879,1.23118,1.11867,1.14123,0.000203691,0.000203691,0.000203691
29,259.243,1.08968,0.89042,1.06246,0.62712,0.76763,0.70931,0.43482,1.21378,1.13737,1.15234,0.000200938,0.000200938,0.000200938
30,268.125,1.08221,0.89224,1.06825,0.7918,0.83797,0.87481,0.54881,1.20456,0.88599,1.13674,0.000198186,0.000198186,0.000198186
31,276.372,1.08897,0.88738,1.06448,0.78882,0.83689,0.86321,0.5495,1.17574,0.88605,1.12775,0.000195434,0.000195434,0.000195434
32,285.233,1.05796,0.8761,1.05976,0.67929,0.77536,0.77642,0.5052,1.15048,1.00705,1.11775,0.000192682,0.000192682,0.000192682
33,294.227,1.03911,0.85527,1.05582,0.76957,0.78581,0.8319,0.54258,1.13492,0.92696,1.10751,0.00018993,0.00018993,0.00018993
34,302.402,1.04845,0.81986,1.04885,0.85907,0.88464,0.92423,0.60801,1.13008,0.74565,1.12136,0.000187177,0.000187177,0.000187177
35,311.444,1.08016,0.8127,1.07151,0.78364,0.79909,0.8453,0.54682,1.16883,0.88707,1.12483,0.000184425,0.000184425,0.000184425
36,320.39,1.04822,0.80417,1.05008,0.7739,0.81814,0.83016,0.54779,1.13305,0.89891,1.12231,0.000181673,0.000181673,0.000181673
37,328.547,1.05594,0.79832,1.05862,0.73147,0.82593,0.82325,0.54932,1.1367,0.95651,1.11394,0.000178921,0.000178921,0.000178921
38,337.382,1.0374,0.77509,1.04576,0.77957,0.82856,0.85855,0.55882,1.16131,0.84156,1.11781,0.000176169,0.000176169,0.000176169
39,346.34,1.053,0.78449,1.05598,0.84393,0.85482,0.89228,0.5748,1.16696,0.79086,1.12787,0.000173416,0.000173416,0.000173416
40,354.621,1.03923,0.75412,1.04889,0.88856,0.89513,0.94208,0.61517,1.13465,0.68584,1.12658,0.000170664,0.000170664,0.000170664
41,363.802,1.03959,0.74719,1.04347,0.78892,0.82471,0.86315,0.56714,1.13468,0.90986,1.11814,0.000167912,0.000167912,0.000167912
42,372.644,1.02414,0.75898,1.04177,0.74717,0.77627,0.79559,0.52406,1.16222,0.97917,1.12593,0.00016516,0.00016516,0.00016516
43,380.804,1.04427,0.74587,1.04564,0.87934,0.87897,0.91906,0.59042,1.16636,0.7133,1.11473,0.000162408,0.000162408,0.000162408
44,389.713,1.01841,0.70795,1.03021,0.81103,0.85421,0.88133,0.59343,1.10284,0.78304,1.09729,0.000159655,0.000159655,0.000159655
45,398.735,1.01289,0.71189,1.0365,0.76352,0.82195,0.83514,0.54986,1.14011,0.88487,1.10917,0.000156903,0.000156903,0.000156903
46,407.049,1.0096,0.69464,1.0284,0.86782,0.85293,0.92535,0.61502,1.12533,0.71909,1.114,0.000154151,0.000154151,0.000154151
47,416.071,1.01728,0.71253,1.03679,0.73813,0.80965,0.82571,0.5543,1.12728,0.90969,1.11366,0.000151399,0.000151399,0.000151399
48,425.149,0.99126,0.70485,1.03111,0.83844,0.85687,0.90315,0.5883,1.14606,0.76833,1.11253,0.000148647,0.000148647,0.000148647
49,433.412,1.01119,0.70441,1.02968,0.88737,0.90612,0.9378,0.62814,1.12107,0.70581,1.11661,0.000145894,0.000145894,0.000145894
50,442.15,0.99265,0.68726,1.02781,0.77297,0.81423,0.83858,0.56622,1.10664,0.89431,1.11128,0.000143142,0.000143142,0.000143142
51,450.975,0.98708,0.68152,1.03883,0.92361,0.91881,0.95468,0.63462,1.11812,0.64479,1.11807,0.00014039,0.00014039,0.00014039
52,459.803,0.98783,0.68147,1.02612,0.80058,0.84104,0.86354,0.57722,1.10608,0.83489,1.11493,0.000137638,0.000137638,0.000137638
53,468.231,0.96824,0.65403,1.01178,0.80603,0.8511,0.88262,0.59377,1.11341,0.82229,1.11172,0.000134886,0.000134886,0.000134886
54,477.034,0.98454,0.65621,1.02094,0.87855,0.89655,0.93966,0.62741,1.11652,0.68622,1.11412,0.000132133,0.000132133,0.000132133
55,485.862,0.96403,0.6576,1.01863,0.82413,0.85076,0.87462,0.58318,1.12143,0.7963,1.10498,0.000129381,0.000129381,0.000129381
56,494.213,0.99827,0.65268,1.02305,0.82464,0.87017,0.89176,0.59974,1.11371,0.81435,1.10501,0.000126629,0.000126629,0.000126629
57,502.946,0.96494,0.63869,1.01344,0.85991,0.88758,0.90593,0.62021,1.08044,0.71954,1.09221,0.000123877,0.000123877,0.000123877
58,512.019,0.97623,0.63259,1.02106,0.86399,0.89357,0.92513,0.62378,1.09944,0.69532,1.10121,0.000121125,0.000121125,0.000121125
59,520.303,0.97425,0.64183,1.01338,0.89702,0.89307,0.93766,0.63578,1.08499,0.66471,1.09789,0.000118372,0.000118372,0.000118372
60,529.129,0.96831,0.63207,1.01886,0.80747,0.85464,0.88985,0.60567,1.08295,0.76998,1.09704,0.00011562,0.00011562,0.00011562
61,537.985,0.94735,0.61098,1.00354,0.8856,0.90385,0.94696,0.64498,1.09011,0.6475,1.09489,0.000112868,0.000112868,0.000112868
62,546.287,0.95927,0.62828,1.01705,0.86197,0.8762,0.92302,0.62229,1.09138,0.74461,1.10282,0.000110116,0.000110116,0.000110116
63,555.004,0.94872,0.60918,1.01015,0.86373,0.91389,0.95052,0.64586,1.0841,0.64804,1.10672,0.000107364,0.000107364,0.000107364
64,563.859,0.93965,0.60796,1.00037,0.89711,0.88558,0.94145,0.63753,1.08951,0.66807,1.10555,0.000104611,0.000104611,0.000104611
